Product Code,Ship Direct Flag,Delivery Flash,Stock Level,Stock Promise Date,DROPPEDLINE
A010,STOCKED,,100,,N
A011,STOCKED,,0,,Y
A016,STOCKED,,100,,N
A017,STOCKED,,52,,N
A025-L,STOCKED,,0,,Y
A025T-L,STOCKED,,0,,Y
A025T-M,STOCKED,,0,,Y
A025T-S,STOCKED,,0,,Y
A025T-XL,STOCKED,,0,,Y
A025T-XS,STOCKED,,3,,Y
A025T-XXL,STOCKED,,0,,Y
A025-XL,STOCKED,,0,,Y
A025-XXL,STOCKED,,0,,Y
A026-3XL,DIRECT,DF_23WEEKS,0,,N
A026-4XL,DIRECT,DF_23WEEKS,0,,N
A026-5XL,DIRECT,DF_23WEEKS,0,,N
A026-6XL,DIRECT,DF_23WEEKS,0,,N
A026-7XL,DIRECT,DF_23WEEKS,0,,N
A026-8XL,DIRECT,DF_23WEEKS,0,,N
A026-L,STOCKED,,100,,N
A026-M,STOCKED,,100,,N
A026-S,STOCKED,,100,,N
A026T-L,STOCKED,,0,,Y
A026T-M,STOCKED,,0,,Y
A026T-S,STOCKED,,0,,Y
A026T-XL,STOCKED,,0,,Y
A026T-XS,STOCKED,,0,,Y
A026T-XXL,STOCKED,,0,,Y
A026-XL,STOCKED,,100,,N
A026-XS,STOCKED,,100,,N
A026-XXL,STOCKED,,100,,N
A029-3XL,STOCKED,DF_21DAY,0,25/03/2024 00:00:00,N
A029-4XL,STOCKED,,1,,N
A029-5XL,STOCKED,,1,,N
A029-6XL,STOCKED,,0,,N
A029-7XL,STOCKED,,6,,N
A029-L,STOCKED,,100,,N
A029-M,STOCKED,,100,,N
A029-S,STOCKED,,100,,N
A029T-L,STOCKED,,100,,N
A029T-M,STOCKED,,100,,N
A029T-S,STOCKED,,100,,N
A029T-XL,STOCKED,,100,,N
A029T-XS,STOCKED,,100,,N
A029T-XXL,STOCKED,,100,,N
A029-XL,STOCKED,,100,,N
A029-XS,STOCKED,,100,,N
A029-XXL,STOCKED,,100,,N
A042-L,STOCKED,,0,,Y
A042T-L,STOCKED,,0,,Y
A042T-M,STOCKED,,0,,Y
A042T-S,STOCKED,,0,,Y
A042T-XL,STOCKED,,0,,Y
A042T-XS,STOCKED,,0,,Y
A042T-XXL,STOCKED,,0,,Y
A042-XL,STOCKED,,0,,Y
A042-XS,STOCKED,,0,,Y
A042-XXL,STOCKED,,0,,Y
A043-L,STOCKED,,0,,Y
A043-M,STOCKED,,0,,Y
A043-S,STOCKED,,0,,Y
A043T-L,STOCKED,,0,,Y
A043T-M,STOCKED,,0,,Y
A043T-XL,STOCKED,,0,,Y
A043T-XS,STOCKED,,0,,Y
A043T-XXL,STOCKED,,0,,Y
A043-XL,STOCKED,,0,,Y
A043-XS,STOCKED,,6,,Y
A043-XXL,STOCKED,,0,,Y
A047,STOCKED,,0,,Y
A054,STOCKED,,100,,N
A060-L,STOCKED,,0,,Y
A060-S,STOCKED,,0,,Y
A060-XS,STOCKED,,0,,Y
A098-L,STOCKED,,0,,Y
A098-M,STOCKED,,0,,Y
A098-XL,STOCKED,,0,,Y
A098-XS,STOCKED,,0,,Y
A100-XXXL,STOCKED,,0,,Y
A102-L,STOCKED,,100,,N
A102-M,STOCKED,,100,,N
A102-S,STOCKED,,0,,Y
A102-XL,STOCKED,,100,,N
A103-2XL,STOCKED,,69,,N
A103-3XL,STOCKED,,5,,N
A103-4XL,STOCKED,,5,,N
A103-L,STOCKED,,93,,N
A103-M,STOCKED,,84,,N
A103-S,STOCKED,,48,,N
A103-XL,STOCKED,,69,,N
A134-3XL,STOCKED,,0,,Y
A134-4XL,STOCKED,,0,,Y
A134-5XL,STOCKED,,0,,Y
A134-L,STOCKED,,100,,N
A134-M,STOCKED,,100,,N
A134-S,STOCKED,,100,,N
A134-XL,STOCKED,,49,,N
A134-XS,STOCKED,,100,,N
A134-XXL,STOCKED,,0,25/03/2024 00:00:00,N
A161,STOCKED,,100,,N
A164,STOCKED,,0,,Y
A171,STOCKED,,0,,Y
A200-L,STOCKED,,100,,N
A200-M,STOCKED,,100,,N
A203-L,STOCKED,,100,,N
A203-M,STOCKED,,100,,N
A203-S,STOCKED,,100,,N
A203-XL,STOCKED,,100,,N
A203-XS,STOCKED,,0,,Y
A204,STOCKED,,100,,N
A206-L,STOCKED,,100,,N
A206-M,STOCKED,,68,,N
A206-S,STOCKED,,100,,N
A206-XL,STOCKED,,100,,N
A206-XS,STOCKED,,0,,Y
A211-3XL,STOCKED,,100,,N
A211-4XL,STOCKED,,100,,N
A211-5XL,STOCKED,,100,,N
A211-L,STOCKED,,100,,N
A211-M,STOCKED,,100,,N
A211-S,STOCKED,,100,,N
A211-XL,STOCKED,,100,,N
A211-XS,STOCKED,,100,,N
A211-XXL,STOCKED,,100,,N
A211-XXXL,STOCKED,,0,,Y
A212,STOCKED,,100,,N
A214-L,STOCKED,,60,,N
A214-M,STOCKED,,56,,N
A214-S,STOCKED,,25,,N
A215,STOCKED,,0,,Y
A216,STOCKED,,0,,Y
A217,STOCKED,,0,,Y
A218,STOCKED,,0,,Y
A219,STOCKED,,100,,N
A220,STOCKED,,100,,N
A221,STOCKED,,0,,Y
A228-L,STOCKED,,100,,N
A228-M,STOCKED,,100,,N
A228-S,STOCKED,,7,,N
A228-XL,STOCKED,,53,,N
A250,STOCKED,,0,,Y
A255,STOCKED,,100,,N
A260,STOCKED,,0,,Y
A261,STOCKED,,0,,Y
A264,STOCKED,,100,,N
A266,STOCKED,,0,,Y
A275,STOCKED,,100,,N
A279,STOCKED,,100,,N
A283,STOCKED,,17,,N
A289,STOCKED,,26,,N
A291,STOCKED,,100,,N
A295-2XL,STOCKED,,0,11/03/2024 00:00:00,N
A295-3XL,STOCKED,,5,,N
A295-4XL,STOCKED,,13,,N
A295-L,STOCKED,,100,,N
A295-M,STOCKED,,100,,N
A295-S,STOCKED,,31,,N
A295-XL,STOCKED,,100,,N
A305,STOCKED,,100,,N
A310,STOCKED,,100,,N
A314-37,STOCKED,,0,,Y
A314-38,STOCKED,,0,,Y
A314-39,STOCKED,,0,,Y
A314-41,STOCKED,,0,,Y
A314-42,STOCKED,,0,,Y
A314-43,STOCKED,,0,,Y
A314-44,STOCKED,,0,,Y
A314-45,STOCKED,,0,,Y
A314-46,STOCKED,,0,,Y
A314-47,STOCKED,,0,,Y
A318-38,STOCKED,,0,,Y
A318-39,STOCKED,,0,,Y
A318-41,STOCKED,,0,,Y
A318-42,STOCKED,,0,,Y
A318-43,STOCKED,,0,,Y
A318-44,STOCKED,,0,,Y
A318-45,STOCKED,,0,,Y
A318-46,STOCKED,,0,,Y
A351-L,STOCKED,,100,,N
A351-M,STOCKED,,100,,N
A351-S,STOCKED,,12,,N
A351-XL,STOCKED,,43,,N
A357-M,STOCKED,,0,,Y
A357-XL,STOCKED,,0,,Y
A360-L,STOCKED,,42,,N
A360-M,STOCKED,,100,,N
A360-XL,STOCKED,,26,,N
A371-3XL,DIRECT,DF_23WEEKS,0,,N
A371-4XL,DIRECT,DF_23WEEKS,0,,N
A371-5XL,DIRECT,DF_23WEEKS,0,,N
A371-6XL,DIRECT,DF_23WEEKS,0,,N
A371-7XL,DIRECT,DF_23WEEKS,0,,N
A371-8XL,DIRECT,DF_23WEEKS,0,,N
A371-L,STOCKED,,100,,N
A371-M,STOCKED,,100,,N
A371-S,STOCKED,,100,,N
A371-XL,STOCKED,,100,,N
A371-XS,STOCKED,,70,,N
A371-XXL,STOCKED,,52,,N
A372-3XL,STOCKED,,0,,Y
A372-L,STOCKED,,0,,Y
A372-M,STOCKED,,0,,Y
A372-XL,STOCKED,,0,,Y
A372-XS,STOCKED,,0,,Y
A372-XXL,STOCKED,,0,,Y
A373-M,STOCKED,,0,,Y
A373-XL,STOCKED,,0,,Y
A374-L,STOCKED,DF_21DAY,0,,Y
A374-M,STOCKED,DF_21DAY,0,,Y
A374-S,STOCKED,,0,,Y
A374-XL,STOCKED,DF_21DAY,0,,Y
A375-36,STOCKED,,0,,Y
A375-38,STOCKED,,0,,Y
A375-42,STOCKED,,0,,Y
A398-37,STOCKED,,0,,Y
A398-38,STOCKED,,0,,Y
A398-39,STOCKED,,0,,Y
A398-40,STOCKED,,0,,Y
A398-42,STOCKED,,0,,Y
A398-43,STOCKED,,0,,Y
A398-44,STOCKED,,0,,Y
A398-45,STOCKED,,0,,Y
A398-46,STOCKED,,0,,Y
A416,STOCKED,,0,,Y
A417,STOCKED,,0,,Y
A418,STOCKED,,0,,Y
A419,STOCKED,DF_21DAY,0,,Y
A424,STOCKED,,0,,Y
A425,STOCKED,,100,,N
A426,STOCKED,,100,,Y
A427,STOCKED,,0,,Y
A428,STOCKED,,0,,Y
A429-37,STOCKED,,0,,Y
A429-38,STOCKED,,0,,Y
A429-39,STOCKED,,0,,Y
A429-40,STOCKED,,0,,Y
A429-41,STOCKED,,0,,Y
A429-42,STOCKED,,0,,Y
A429-43,STOCKED,,0,,Y
A429-44,STOCKED,,0,,Y
A429-45,STOCKED,,0,,Y
A429-46,STOCKED,,0,,Y
A431-L,STOCKED,,0,,Y
A431-M,STOCKED,,100,,N
A431-S,STOCKED,,100,,N
A431-XL,STOCKED,,0,,Y
A431-XS,STOCKED,,22,,N
A431-XXL,STOCKED,,0,,Y
A437-M,STOCKED,,0,,Y
A437-XL,STOCKED,,0,,Y
A437-XS,STOCKED,,0,,Y
A438-3XL,STOCKED,,0,,Y
A438-4XL,STOCKED,,0,,Y
A438-L,STOCKED,,100,,N
A438-M,STOCKED,,100,,N
A438-S,STOCKED,,0,26/03/2024 00:00:00,N
A438-XL,STOCKED,,0,26/03/2024 00:00:00,N
A438-XS,STOCKED,,0,26/03/2024 00:00:00,N
A438-XXL,STOCKED,,100,,N
A438-XXXL,STOCKED,,0,,Y
A439-3XL,STOCKED,,0,26/03/2024 00:00:00,N
A439-4XL,STOCKED,,31,,N
A439-5XL,STOCKED,,9,,N
A439-L,STOCKED,,100,,N
A439-M,STOCKED,,100,,N
A439-S,STOCKED,,100,,N
A439-XL,STOCKED,,100,,N
A439-XS,STOCKED,,29,,N
A439-XXL,STOCKED,,0,25/03/2024 00:00:00,N
A478-36,STOCKED,,0,,Y
A478-37.5,STOCKED,,0,,Y
A478-39,STOCKED,,0,,Y
A478-40,STOCKED,,4,,Y
A478-41.5,STOCKED,,0,,Y
A478-43,STOCKED,,0,,Y
A478-44,STOCKED,,0,,Y
A478-45.5,STOCKED,,0,,Y
A478-47,STOCKED,,0,,Y
A482-37,STOCKED,,0,,Y
A482-38,STOCKED,,0,,Y
A482-39,STOCKED,,0,,Y
A501,STOCKED,,100,,N
A502,STOCKED,,0,,Y
A503-40,STOCKED,,0,,Y
A503-44,STOCKED,,0,,Y
A503-48,STOCKED,,0,,Y
A505,STOCKED,,0,,Y
A521,STOCKED,,100,,N
A522,STOCKED,,100,,N
A530,STOCKED,,100,,N
A532,STOCKED,,100,,N
A535,STOCKED,,100,,N
A540,STOCKED,,100,,N
A542,STOCKED,,100,,N
A543,STOCKED,,100,,N
A545-L,STOCKED,,100,,N
A545-M,STOCKED,,100,,N
A546-L,STOCKED,,45,,N
A546-M,STOCKED,,0,26/03/2024 00:00:00,N
A551,STOCKED,,100,,N
A552,STOCKED,,0,,Y
A554,STOCKED,,100,,N
A557,STOCKED,,100,,N
A558,STOCKED,,0,,Y
A575-L,STOCKED,,0,,Y
A575-S,STOCKED,,0,,Y
A575T-L,STOCKED,,0,,Y
A575T-M,STOCKED,,0,,Y
A575T-S,STOCKED,,0,,Y
A575T-XL,STOCKED,,0,,Y
A575T-XS,STOCKED,,0,,Y
A575T-XXL,STOCKED,,0,,Y
A575-XL,STOCKED,,0,,Y
A575-XS,STOCKED,,21,,Y
A577,STOCKED,,25,,N
A578-42,STOCKED,,0,,Y
A580,STOCKED,,100,,N
A581,STOCKED,,100,,N
A582-3XL,STOCKED,,100,,N
A582-4XL,STOCKED,,75,,N
A582-5XL,STOCKED,,100,,N
A582-L,STOCKED,,100,,N
A582-M,STOCKED,,100,,N
A582-S,STOCKED,,100,,N
A582-XL,STOCKED,,100,,N
A582-XS,STOCKED,,92,,N
A582-XXL,STOCKED,,100,,N
A582-XXXL,STOCKED,,0,,Y
A585,STOCKED,,100,,N
A587,STOCKED,,100,,N
A590,STOCKED,,0,12/04/2024 00:00:00,N
A591,STOCKED,,0,,Y
A592,STOCKED,,0,,Y
A598-L,STOCKED,DF_21DAY,0,,Y
A598-M,STOCKED,DF_21DAY,0,,Y
A598-S,STOCKED,,0,,Y
A598-XL,STOCKED,DF_21DAY,0,,Y
A599-L,STOCKED,,0,,Y
A599-M,STOCKED,,0,,Y
A599-S,STOCKED,,0,,Y
A599-XS,STOCKED,,0,,Y
A599-XXL,STOCKED,,0,,Y
A600-L,STOCKED,,0,,Y
A600-XL,STOCKED,,0,,Y
A608,STOCKED,,0,,Y
A609,STOCKED,,0,,Y
A610,STOCKED,,0,,Y
A647,STOCKED,,100,,N
A652-L,STOCKED,,63,,N
A652-M,STOCKED,,64,,N
A652-S,STOCKED,,12,,N
A653-L,STOCKED,,41,,N
A653-M,STOCKED,,57,,N
A653-S,STOCKED,,3,,N
A654-L,STOCKED,,100,,N
A654-M,STOCKED,,83,,N
A654-S,STOCKED,,22,,N
A662,STOCKED,,100,,N
A669-S,STOCKED,,0,,Y
A669-XL,STOCKED,,0,,Y
A673-S,STOCKED,,0,,Y
A673-XL,STOCKED,,0,,Y
A674-L,STOCKED,,62,,N
A674-M,STOCKED,,39,,N
A674-S,STOCKED,,100,,N
A674-XL,STOCKED,,42,,N
A674-XS,DIRECT,DF_23WEEKS,0,,N
A674-XXL,DIRECT,DF_23WEEKS,0,,N
A675-M,STOCKED,DF_21DAY,0,,Y
A675-S,STOCKED,DF_21DAY,0,,Y
A677,STOCKED,,100,,N
A690,STOCKED,,0,,Y
A695-3XL,DIRECT,DF_23WEEKS,0,,N
A695-4XL,DIRECT,DF_23WEEKS,0,,N
A695-L,STOCKED,,97,,N
A695-M,STOCKED,,78,,N
A695-S,STOCKED,,92,,N
A695-XL,STOCKED,,19,,N
A695-XS,STOCKED,,54,,N
A695-XXL,STOCKED,,75,,N
A702,STOCKED,,100,,N
A703,STOCKED,,100,,N
A704,STOCKED,,0,29/03/2024 00:00:00,N
A705,STOCKED,,0,,Y
A706,STOCKED,,100,,N
A708-36,STOCKED,,63,,N
A708-37,STOCKED,,84,,N
A708-38,STOCKED,,100,,N
A708-39,STOCKED,,100,,N
A708-40,STOCKED,,81,,N
A708-41,STOCKED,,100,,N
A708-42,STOCKED,,75,,N
A708-43,STOCKED,,100,,N
A708-44,STOCKED,,100,,N
A708-45,STOCKED,,42,,N
A708-46,STOCKED,,100,,N
A708-47,STOCKED,,52,,N
A709,STOCKED,,100,,N
A713-18,STOCKED,,5,,Y
A717,STOCKED,,0,,Y
A724,STOCKED,,0,,Y
A725,STOCKED,,0,,Y
A730-3XL,DIRECT,DF_23WEEKS,0,,N
A730-L,STOCKED,,85,,N
A730-M,STOCKED,,37,,N
A730-S,STOCKED,,100,,N
A730-XL,STOCKED,,100,,N
A730-XXL,DIRECT,DF_23WEEKS,0,,N
A734-2XL,STOCKED,,42,,N
A734-3XL,STOCKED,,0,,Y
A734-4XL,STOCKED,,0,,Y
A734-5XL,STOCKED,,0,,Y
A734-L,STOCKED,,60,,N
A734-M,STOCKED,,62,,N
A734-S,STOCKED,,88,,N
A734-XL,STOCKED,,43,,N
A735-2XL,STOCKED,,0,08/03/2024 00:00:00,N
A735-3XL,STOCKED,,0,,Y
A735-4XL,STOCKED,,0,,Y
A735-5XL,STOCKED,,0,,Y
A735-L,STOCKED,,0,08/03/2024 00:00:00,N
A735-M,STOCKED,,100,,N
A735-S,STOCKED,,100,,N
A735-XL,STOCKED,,18,,N
A736-3XL,STOCKED,,0,,Y
A736-4XL,STOCKED,,0,,Y
A736-5XL,STOCKED,,0,,Y
A736-L,STOCKED,,58,,N
A736-M,STOCKED,,100,,N
A736-S,STOCKED,,44,,N
A736-XL,STOCKED,,15,,N
A736-XXL,STOCKED,,12,,N
A757-S,STOCKED,,0,,Y
A762-3XL,STOCKED,,0,,Y
A762-L,STOCKED,,0,,Y
A762-M,STOCKED,,0,,Y
A762-S,STOCKED,,0,,Y
A762-XL,STOCKED,,0,,Y
A762-XXL,STOCKED,,8,,Y
A763-3XL,STOCKED,,0,,Y
A763-4XL,STOCKED,,0,,Y
A763-L,STOCKED,,24,,N
A763-M,STOCKED,,50,,N
A763-S,STOCKED,,46,,N
A763-XL,STOCKED,,0,08/03/2024 00:00:00,N
A763-XXL,STOCKED,,19,,N
A793-35,STOCKED,,64,,N
A793-36,STOCKED,,100,,N
A793-37,STOCKED,,100,,N
A793-38,STOCKED,,100,,N
A793-39,STOCKED,,100,,N
A793-40,STOCKED,,34,,N
A793-41,STOCKED,,100,,N
A793-42,STOCKED,,100,,N
A793-43,STOCKED,,100,,N
A793-44,STOCKED,,100,,N
A793-45,STOCKED,,100,,N
A793-46,STOCKED,,100,,N
A793-47,STOCKED,,100,,N
A793-48,STOCKED,,89,,N
A793-49,STOCKED,,7,,N
A793-50,STOCKED,,51,,N
A798-3XL,DIRECT,DF_23WEEKS,0,,N
A798-L,STOCKED,,100,,N
A798-M,STOCKED,,100,,N
A798-S,STOCKED,,100,,N
A798-XL,STOCKED,,100,,N
A798-XS,DIRECT,DF_23WEEKS,6,,N
A798-XXL,STOCKED,,7,,N
A801-38,STOCKED,,56,,N
A801-39,STOCKED,,86,,N
A801-42,STOCKED,,0,,Y
A801-43,STOCKED,,0,,Y
A801-45,STOCKED,,40,,N
A811-36,STOCKED,,0,,Y
A811-37,STOCKED,,0,,Y
A811-38,STOCKED,,0,,Y
A811-39,STOCKED,,0,,Y
A811-40,STOCKED,,0,,Y
A811-42,STOCKED,,0,,Y
A811-43,STOCKED,,0,,Y
A811-45,STOCKED,,0,,Y
A811-46,STOCKED,,0,,Y
A811-47,STOCKED,,0,,Y
A812-36,STOCKED,,0,,Y
A813-36,STOCKED,,41,,N
A813-37,STOCKED,,43,,N
A813-38,STOCKED,,100,,N
A813-39,STOCKED,,100,,N
A813-40,STOCKED,,48,,N
A813-41,STOCKED,,100,,N
A813-42,STOCKED,,100,,N
A813-43,STOCKED,,100,,N
A813-44,STOCKED,,100,,N
A813-45,STOCKED,,100,,N
A813-46,STOCKED,,88,,N
A813-47,STOCKED,,60,,N
A841-36,STOCKED,,0,,Y
A841-40,STOCKED,,0,,Y
A841-42,STOCKED,,0,,Y
A841-43,STOCKED,,0,,Y
A841-44,STOCKED,,0,,Y
A841-45,STOCKED,,0,,Y
A841-46,STOCKED,,0,,Y
A842-45,STOCKED,,0,,Y
A844-36,STOCKED,,58,,N
A844-37,STOCKED,,0,25/05/2024 00:00:00,N
A844-38,STOCKED,,100,,N
A844-39,STOCKED,,33,,N
A844-40,STOCKED,,100,,N
A844-41,STOCKED,,100,,N
A844-42,STOCKED,,13,,N
A844-43,STOCKED,,100,,N
A844-44,STOCKED,,69,,N
A844-45,STOCKED,,100,,N
A844-46,STOCKED,,100,,N
A844-47,STOCKED,,52,,N
A845-36,STOCKED,,10,,N
A845-37,STOCKED,,62,,N
A845-38,STOCKED,,100,,N
A845-39,STOCKED,,100,,N
A845-40,STOCKED,,100,,N
A845-41,STOCKED,,100,,N
A845-42,STOCKED,,100,,N
A845-43,STOCKED,,100,,N
A845-44,STOCKED,,100,,N
A845-45,STOCKED,,66,,N
A845-46,STOCKED,,66,,N
A845-47,STOCKED,,12,,N
A852-L,STOCKED,,0,,Y
A852-XL,STOCKED,,0,,Y
A857-L,STOCKED,,0,,Y
A857-M,STOCKED,,0,,Y
A857-XL,STOCKED,,0,,Y
A857-XS,STOCKED,,0,,Y
A857-XXL,STOCKED,,0,,Y
A858-L,STOCKED,,0,,Y
A858-M,STOCKED,,0,,Y
A858-XL,STOCKED,,0,,Y
A858-XXL,STOCKED,,0,,Y
A859-L,STOCKED,,0,,Y
A859-XXL,STOCKED,,0,,Y
A875-L,STOCKED,,0,,Y
A875-S,STOCKED,,0,,Y
A885,STOCKED,,53,,N
A886,STOCKED,,100,,N
A887,STOCKED,,0,,Y
A891,STOCKED,,0,,Y
A896,STOCKED,,100,,N
A897,STOCKED,,100,,N
A898-36,STOCKED,,0,,Y
A898-37,STOCKED,,0,,Y
A898-38,STOCKED,,0,,Y
A898-39,STOCKED,,0,,Y
A898-40,STOCKED,,0,,Y
A898-41,STOCKED,,0,,Y
A898-42,STOCKED,,0,,Y
A898-45,STOCKED,,7,,Y
A898-46,STOCKED,,0,,Y
A898-47,STOCKED,,0,,Y
A899-36,STOCKED,,100,,N
A899-37,STOCKED,,100,,N
A899-38,STOCKED,,100,,N
A899-39,STOCKED,,100,,N
A899-40,STOCKED,,50,,N
A899-41,STOCKED,,100,,N
A899-42,STOCKED,,100,,N
A899-43,STOCKED,,100,,N
A899-44,STOCKED,,100,,N
A899-45,STOCKED,,100,,N
A899-46,STOCKED,,100,,N
A900,STOCKED,,0,,Y
A901,STOCKED,,0,,Y
A903,STOCKED,,0,,Y
A906,STOCKED,,100,,N
A907,STOCKED,,100,,N
A912-L,DIRECT,DF_23WEEKS,0,,N
A912-M,DIRECT,DF_23WEEKS,0,,N
A912-S,STOCKED,DF_21DAY,0,,Y
A912-XL,DIRECT,DF_23WEEKS,1,,N
A912-XS,DIRECT,DF_23WEEKS,0,,N
A912-XXL,DIRECT,DF_23WEEKS,0,,N
A913-L,STOCKED,,100,,N
A913-M,STOCKED,,100,,N
A913-S,STOCKED,,100,,N
A913-XL,STOCKED,,92,,N
A913-XS,DIRECT,DF_23WEEKS,0,,N
A913-XXL,DIRECT,DF_23WEEKS,0,,N
A914-3XL,STOCKED,,15,,N
A914-4XL,STOCKED,,0,,N
A914-L,STOCKED,,100,,N
A914-M,STOCKED,,100,,N
A914-S,STOCKED,,100,,N
A914-XL,STOCKED,,100,,N
A914-XS,STOCKED,,66,,N
A914-XXL,STOCKED,,100,,N
A915-34,STOCKED,DF_23WEEKS,8,,Y
A915-42,STOCKED,DF_23WEEKS,0,,Y
A915-46,STOCKED,DF_23WEEKS,0,,Y
A919,STOCKED,,100,,N
A920,STOCKED,,0,,Y
A921,STOCKED,,0,,Y
A923,STOCKED,,100,,N
A924,STOCKED,,100,,N
A925,DIRECT,DF_23WEEKS,0,,N
A926,STOCKED,,0,,Y
A927,STOCKED,,0,,Y
A928-L,STOCKED,,100,,N
A928-M,STOCKED,,100,,N
A928-S,STOCKED,,100,,N
A928-XL,STOCKED,,100,,N
A928-XS,STOCKED,,100,,N
A928-XXL,STOCKED,,58,,N
A929,STOCKED,,0,,Y
A934-3XL,DIRECT,DF_21DAY,0,,N
A934-L,STOCKED,,100,,N
A934-M,STOCKED,,100,,N
A934-S,STOCKED,,100,,N
A934-XL,STOCKED,,100,,N
A934-XS,STOCKED,,9,,N
A934-XXL,STOCKED,,100,,N
A935,STOCKED,,100,,N
A936-L,STOCKED,DF_23WEEKS,0,,Y
A936-S,STOCKED,DF_23WEEKS,0,,Y
A936-XS,STOCKED,,0,,Y
A937-L,STOCKED,,0,,Y
A937-M,STOCKED,,0,,Y
A937-XL,STOCKED,,0,,Y
A937-XXL,STOCKED,,0,,Y
A938,STOCKED,,100,,N
A939,STOCKED,,0,,Y
A940-3XL,DIRECT,DF_23WEEKS,0,,N
A940-4XL,DIRECT,DF_23WEEKS,1,,N
A940-L,STOCKED,,39,,N
A940-M,STOCKED,,100,,N
A940-S,STOCKED,,100,,N
A940-XL,STOCKED,,100,,N
A940-XS,STOCKED,,24,,N
A940-XXL,STOCKED,,49,,N
A941,STOCKED,,0,,Y
A942,STOCKED,,100,,N
A943,STOCKED,,0,,Y
A945,STOCKED,,100,,N
A946-36,STOCKED,,40,,N
A946-37.5,STOCKED,,44,,N
A946-39,STOCKED,,100,,N
A946-40,STOCKED,,100,,N
A946-41.5,STOCKED,,100,,N
A946-43,STOCKED,,100,,N
A946-44,STOCKED,,100,,N
A946-45.5,STOCKED,,100,,N
A946-47,STOCKED,,100,,N
A946-48,STOCKED,,95,,N
A947-L,STOCKED,,0,,Y
A947-M,STOCKED,,0,,Y
A947-S,STOCKED,,0,,Y
A948-L,DIRECT,DF_23WEEKS,0,07/01/2023 00:00:00,N
A948-M,DIRECT,DF_23WEEKS,0,,N
A948-S,DIRECT,DF_23WEEKS,0,,N
A948-XL,DIRECT,DF_23WEEKS,0,,N
A948-XS,DIRECT,DF_23WEEKS,0,,N
A948-XXL,DIRECT,DF_23WEEKS,0,,N
A949-36,STOCKED,,0,,Y
A949-41.5,STOCKED,,0,,Y
A949-47,STOCKED,,0,,Y
A951-L,STOCKED,,0,,Y
A951-M,STOCKED,,0,,Y
A951-S,STOCKED,,0,,Y
A952-L,STOCKED,,100,,N
A952-M,STOCKED,,100,,N
A952-S,STOCKED,,100,,N
A952-XL,STOCKED,,100,,N
A952-XS,DIRECT,DF_23WEEKS,0,,N
A952-XXL,STOCKED,DF_23WEEKS,0,,Y
A956,STOCKED,,100,,N
A957-37,STOCKED,,0,,Y
A957-38,STOCKED,,0,,Y
A957-39,STOCKED,,0,,Y
A957-40,STOCKED,,0,,Y
A957-41,STOCKED,,0,,Y
A957-42,STOCKED,,0,,Y
A957-44,STOCKED,,0,,Y
